0.5,1,1.5,2
-40,-39,-36,-35
-38,-37,-37,-34
-38,-39,-39,-34
-38,-37,-37,-35
-41,-36,-35,-34
-37,-38,-37,-39
-37,-37,-37,-35
-40,-39,-36,-35
-38,-37,-37,-36
-37,-38,-40,-34
-40,-37,-36,-35
-38,-37,-38,-34
-38,-37,-38,-34
-41,-42,-36,-34
-41,-39,-36,-34
-37,-37,-36,-35
-37,-37,-39,-34
-36,-37,-41,-34
-38,-41,-35,-34
-41,-40,-36,-34
-37,-37,-39,-37
-40,-37,-40,-36
-40,-38,-39,-34
-38,-37,-38,-34
-37,-36,-38,-33
-38,-39,-38,-42
-40,-41,-37,-32
-41,-37,-35,-36
-40,-36,-37,-34
-37,-36,-39,-36
-38,-38,-38,-38
-40,-37,-36,-36
-38,-39,-35,-34
-35,-36,-39,-37
-37,-39,-39,-35
-37,-39,-35,-33
-37,-39,-35,-34
-36,-38,-35,-35
-38,-39,-35,-35
-37,-38,-35,-32
-41,-37,-35,-35
-37,-37,-39,-37
-37,-36,-40,-38
-37,-38,-37,-37
-37,-38,-39,-36
-38,-38,-35,-40
-38,-39,-35,-37
-37,-39,-36,-38
-38,-38,-36,-36
-37,-36,-37,-35
-41,-41,-40,-36
-37,-37,-40,-36
-37,-40,-36,-36
-38,-36,-35,-40
-41,-37,-37,-37
-35,-36,-40,-38
-38,-37,-36,-37
-38,-37,-34,-40
-38,-40,-36,-37
-46,-38,-38,-40
-39,-37,-39,-37
-37,-36,-39,-37
-37,-38,-37,-39
-37,-36,-37,-37
-39,-38,-39,-36
-37,-37,-35,-36
-38,-37,-35,-40
-40,-39,-36,-37
-40,-37,-42,-36
-38,-37,-36,-38
-38,-37,-37,-40
-38,-41,-36,-36
-41,-38,-39,-36
-38,-37,-36,-36
-39,-36,-37,-37
-38,-37,-37,-36
-38,-41,-38,-37
-39,-36,-38,-36
-36,-40,-39,-37
-37,-40,-44,-40
-37,-38,-39,-38
-37,-39,-37,-36
-41,-39,-36,-37
-37,-38,-37,-38
-37,-37,-40,-37
-38,-38,-36,-40
-38,-38,-36,-36
-40,-37,-40,-37
-38,-38,-37,-37
-41,-39,-39,-37
-42,-40,-42,-40
-39,-41,-38,-36
-40,-38,-39,-36
-39,-38,-35,-37
-38,-38,-40,-38
-40,-38,-36,-38
-41,-38,-36,-37
-38,-39,-36,-37
-38,-41,-36,-46
-41,-38,-35,-34
-40,-39,-38,-37
-42,-40,-37,-35
-41,-39,-35,-34
-39,-38,-36,-42
-39,-39,-35,-34
-40,-37,-35,-37
-39,-39,-36,-33
-40,-42,-37,-38
-40,-42,-36,-36
-40,-38,-37,-37
-40,-42,-37,-35
-39,-40,-38,-35
-42,-40,-41,-38
-40,-38,-38,-38
-41,-39,-35,-36
-42,-39,-35,-38
-42,-40,-34,-37
-40,-37,-36,-44
-40,-38,-38,-39
-40,-37,-35,-38
-40,-36,-39,-37
-48,-38,-35,-37
-39,-38,-36,-34
-40,-41,-35,-34
-42,-37,-39,-35
-42,-38,-38,-39
-39,-38,-36,-36
-42,-40,-36,-39
-40,-37,-36,-39
-40,-39,-37,-37
-46,-40,-39,-37
-39,-37,-36,-36
-39,-36,-36,-36
-39,-39,-35,-36
-38,-43,-36,-38
-39,-40,-36,-35
-39,-40,-37,-37
-42,-37,-38,-34
-39,-41,-34,-35
-40,-39,-35,-37
-48,-40,-35,-36
-41,-38,-34,-37
-42,-40,-37,-33
-38,-38,-38,-38
-40,-37,-36,-35
-39,-40,-38,-36
-38,-37,-38,-38
-39,-40,-35,-38
-39,-37,-35,-33
-40,-38,-39,-36
-42,-40,-39,-35
-37,-38,-34,-41
-41,-38,-37,-38
-40,-37,-35,-38
-47,-37,-38,-37
-42,-40,-38,-37
-39,-41,-35,-41
-41,-40,-36,-37
-40,-43,-35,-37
-39,-38,-39,-37
-39,-42,-38,-38
-41,-37,-39,-37
-39,-38,-36,-35
-40,-38,-35,-35
-43,-38,-36,-37
-41,-39,-35,-38
-39,-40,-36,-40
-38,-37,-36,-39
-40,-35,-35,-36
-39,-37,-35,-35
-41,-38,-36,-35
-42,-38,-36,-35
-42,-36,-38,-35
-39,-36,-38,-34
-48,-36,-36,-38
-41,-38,-37,-35
-39,-36,-37,-34
-39,-36,-35,-37
-40,-34,-39,-35
-39,-38,-35,-34
-41,-38,-35,-35
-40,-38,-35,-37
-41,-36,-36,-37
-39,-38,-36,-34
-39,-35,-39,-35
-47,-38,-35,-35
-39,-35,-34,-35
-38,-39,-34,-59
-41,-37,-36,-35
-41,-36,-36,-35
-39,-35,-35,-36
-38,-35,-35,-36
-39,-35,-39,-35
-39,-35,-38,-35
-39,-35,-38,-35
-39,-38,-39,-35
-41,-37,-37,-34
-38,-35,-36,-35
-41,-34,-36,-35
-40,-37,-38,-38
-39,-35,-35,-39
-39,-35,-35,-36
-40,-38,-38,-47
-43,-39,-36,-35
-39,-40,-36,-35
-37,-37,-35,-35
-39,-38,-36,-35
-38,-37,-36,-34
-39,-36,-44,-34
-38,-36,-36,-37
-38,-37,-35,-34
-38,-34,-38,-36
-36,-36,-38,-35
-39,-34,-35,-37
-39,-36,-40,-37
-38,-40,-36,-39
-40,-36,-35,-35
-42,-36,-36,-36
-39,-38,-38,-36
-41,-40,-36,-35
-40,-41,-36,-37
-41,-36,-39,-36
-43,-38,-35,-35
-41,-40,-39,-36
-39,-37,-37,-39
-42,-37,-38,-38
-40,-39,-39,-39
-41,-39,-39,-36
-41,-39,-38,-35
-40,-38,-39,-36
-40,-37,-39,-35
-40,-38,-35,-36
-41,-37,-38,-39
-40,-37,-38,-35
-47,-39,-41,-35
-40,-33,-38,-35
-47,-39,-39,-35
-40,-37,-37,-36
-40,-35,-36,-35
-40,-37,-36,-36
-39,-39,-38,-35
-40,-35,-36,-36
-39,-37,-39,-33
-37,-37,-36,-36
-40,-35,-41,-45
-41,-34,-41,-33
-40,-34,-43,-35
-40,-37,-40,-36
-40,-35,-37,-33
-39,-37,-37,-33
-47,-35,-39,-38
-40,-35,-38,-39
-40,-34,-37,-45
-54,-37,-39,-54
-40,-38,-40,-51
-39,-38,-39,-48
-40,-35,-40,-49
-42,-36,-37,-52
-42,-37,-40,-44
-40,-35,-38,-41
-37,-35,-39,-37
-40,-36,-37,-39
-41,-34,-39,-41
-40,-34,-39,-41
-39,-36,-39,-41
-43,-36,-38,-38
-40,-38,-38,-38
-39,-37,-45,-36
-40,-37,-40,-39
-41,-36,-45,-37
-40,-38,-37,-40
-40,-36,-37,-39
-39,-35,-41,-36
-39,-35,-43,-37
-42,-39,-39,-38
-47,-37,-38,-41
-41,-37,-38,-40
-36,-40,-38,-36
-40,-38,-38,-38
-39,-37,-37,-36
-40,-40,-38,-37
-42,-38,-38,-38
-40,-38,-38,-40
-41,-43,-36,-38
-40,-39,-47,-38
-39,-37,-40,-41
-42,-39,-41,-38
-39,-38,-39,-37
-42,-38,-45,-37
-41,-38,-38,-38
-39,-37,-39,-39
-39,-40,-39,-39
-40,-37,-38,-36
-42,-38,-37,-38
-38,-40,-38,-38
-39,-40,-42,-35
-39,-38,-40,-35
-40,-37,-42,-35
-39,-41,-40,-35
-42,-38,-40,-36
