0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.5,2,2.5,3
-35.0,-41.0,-37.0,-53.0,-44.0,-48.0,-34.0,-41.0,-49.0,-43.0,-38.0,-60.0
-35.0,-38.0,-38.0,-53.0,-47.0,-50.0,-37.0,-37.0,-50.0,-43.0,-38.0,-59.0
-36.0,-38.0,-37.0,-54.0,-45.0,-49.0,-36.0,-39.0,-51.0,-48.0,-37.0,-60.0
-37.0,-40.0,-34.0,-53.0,-38.0,-50.0,-35.0,-36.0,-50.0,-49.0,-38.0,-62.0
-37.0,-42.0,-37.0,-54.0,-36.0,-49.0,-38.0,-35.0,-49.0,-64.0,-37.0,-60.0
-37.0,-40.0,-40.0,-52.0,-46.0,-50.0,-37.0,-37.0,-50.0,-43.0,-38.0,-61.0
-35.0,-40.0,-39.0,-53.0,-49.0,-48.0,-36.0,-38.0,-49.0,-46.0,-37.0,-59.0
-37.0,-41.0,-36.0,-53.0,-51.0,-49.0,-39.0,-37.0,-50.0,-45.0,-37.0,-60.0
-38.0,-40.0,-35.0,-52.0,-35.0,-50.0,-36.0,-37.0,-48.0,-41.0,-38.0,-60.0
-37.0,-33.0,-39.0,-53.0,-42.0,-48.0,-37.0,-38.0,-48.0,-45.0,-40.0,-60.0
-37.0,-50.0,-36.0,-53.0,-40.0,-48.0,-40.0,-39.0,-48.0,-40.0,-41.0,-59.0
-38.0,-43.0,-38.0,-53.0,-48.0,-50.0,-39.0,-36.0,-47.0,-45.0,-39.0,-58.0
-34.0,-38.0,-35.0,-53.0,-42.0,-48.0,-40.0,-36.0,-43.0,-40.0,-37.0,-59.0
-35.0,-41.0,-35.0,-52.0,-42.0,-43.0,-40.0,-40.0,-50.0,-41.0,-35.0,-59.0
-35.0,-42.0,-40.0,-52.0,-42.0,-49.0,-40.0,-35.0,-52.0,-47.0,-36.0,-60.0
-36.0,-41.0,-37.0,-54.0,-49.0,-43.0,-40.0,-36.0,-50.0,-41.0,-37.0,-59.0
-38.0,-39.0,-36.0,-52.0,-43.0,-51.0,-39.0,-40.0,-49.0,-43.0,-39.0,-59.0
-34.0,-39.0,-37.0,-52.0,-43.0,-48.0,-39.0,-34.0,-49.0,-49.0,-38.0,-60.0
-34.0,-40.0,-37.0,-52.0,-39.0,-49.0,-41.0,-37.0,-48.0,-57.0,-36.0,-57.0
-36.0,-38.0,-37.0,-53.0,-45.0,-48.0,-38.0,-35.0,-49.0,-52.0,-38.0,-56.0
-34.0,-39.0,-37.0,-52.0,-50.0,-49.0,-38.0,-37.0,-49.0,-50.0,-37.0,-54.0
