0.5,1,1.5,2,2.5,3,4.5,6,7.5,9,12,15
-51,-55,-54,-61,-55,-53,-54,-62,-56,-47,-46,-48
-51,-52,-58,-61,-55,-53,-54,-58,-55,-41,-42,-48
-50,-53,-57,-59,-51,-52,-63,-59,-57,-40,-38,-42
-53,-52,-56,-62,-51,-51,-58,-60,-54,-47,-42,-42
-50,-52,-57,-62,-53,-50,-55,-58,-56,-47,-38,-48
-54,-52,-56,-62,-55,-51,-60,-57,-56,-43,-42,-42
-44,-52,-57,-59,-53,-54,-58,-61,-58,-43,-39,-42
-52,-53,-56,-61,-54,-52,-54,-59,-57,-41,-40,-41
-51,-53,-58,-58,-54,-53,-60,-58,-55,-41,-42,-40
-49,-53,-56,-61,-51,-50,-56,-62,-59,-42,-41,-47
-50,-52,-53,-61,-54,-50,-63,-59,-59,-42,-42,-48
-51,-52,-55,-58,-53,-46,-57,-58,-60,-46,-38,-45
-50,-52,-54,-62,-55,-52,-54,-59,-57,-42,-38,-40
-50,-52,-53,-63,-55,-53,-63,-59,-57,-41,-39,-43
-46,-51,-52,-62,-52,-51,-56,-58,-53,-39,-40,-47
-52,-52,-56,-63,-53,-55,-54,-58,-56,-38,-39,-42
-51,-52,-53,-59,-54,-52,-63,-61,-56,-39,-40,-39
-53,-52,-53,-60,-53,-54,-61,-59,-54,-50,-38,-48
-51,-52,-55,-60,-55,-52,-57,-56,-56,-41,-38,-43
-49,-53,-53,-61,-52,-48,-64,-58,-54,-38,-38,-43
-46,-51,-53,-57,-53,-52,-58,-55,-54,-40,-36,-43
-51,-52,-52,-56,-52,-54,-61,-58,-53,-40,-36,-41
-52,-56,-53,-57,-54,-53,-58,-58,-53,-38,-37,-42
-52,-53,-53,-58,-52,-51,-62,-58,-54,-40,-37,-43
-53,-52,-55,-56,-56,-46,-56,-59,-53,-39,-36,-44
-52,-53,-54,-58,-52,-51,-61,-60,-54,-38,-36,-41
-51,-53,-53,-58,-57,-51,-58,-56,-55,-39,-35,-50
-52,-47,-52,-56,-53,-49,-58,-57,-55,-38,-35,-43
-51,-52,-54,-56,-53,-51,-59,-58,-56,-41,-38,-44
-52,-48,-53,-57,-52,-51,-58,-61,-57,-45,-35,-49
-54,-51,-51,-56,-54,-53,-57,-63,-52,-40,-35,-40
-54,-54,-52,-58,-53,-51,-57,-62,-54,-36,-35,-45
-50,-56,-52,-61,-54,-51,-61,-61,-53,-39,-36,-41
-52,-53,-51,-59,-51,-50,-57,-62,-55,-38,-36,-41
-52,-53,-51,-61,-52,-50,-57,-61,-56,-39,-36,-41
-50,-48,-52,-60,-52,-51,-56,-60,-54,-39,-36,-46
-52,-54,-53,-58,-52,-52,-56,-59,-53,-38,-36,-41
-51,-52,-51,-59,-52,-52,-54,-61,-53,-39,-38,-40
-53,-53,-52,-61,-53,-51,-56,-61,-54,-40,-36,-45
-51,-52,-52,-57,-55,-45,-54,-62,-54,-38,-39,-41
-53,-47,-55,-57,-53,-45,-57,-61,-56,-40,-38,-41
-53,-54,-52,-55,-52,-49,-54,-62,-55,-39,-37,-46
-52,-51,-52,-57,-52,-53,-56,-62,-53,-42,-35,-41
-54,-53,-52,-58,-51,-53,-56,-62,-54,-41,-37,-40
-55,-52,-56,-56,-52,-48,-56,-61,-53,-41,-37,-41
-53,-53,-52,-55,-51,-52,-55,-62,-55,-41,-41,-41
-53,-51,-54,-54,-51,-52,-56,-61,-56,-42,-39,-46
-52,-53,-55,-57,-50,-46,-56,-61,-54,-42,-39,-40
-51,-54,-54,-59,-52,-51,-55,-61,-54,-40,-38,-41
-53,-55,-53,-60,-51,-50,-55,-59,-54,-39,-37,-40
